Filename,Date,Camera
20240302-124404,2024-03-02T12:44:04-05:00,Sony Mavica FD91
20240302-123730,2024-03-02T12:37:30-05:00,Sony Mavica FD91
20240210-180209,2024-02-10T18:02:09-05:00,Sony Mavica FD91
20240204-203650,2024-02-04T20:36:50-05:00,Sony Mavica FD91
20240121-163310,2024-01-21T16:33:10-05:00,Sony Mavica FD91
20231228-154618,2023-12-28T15:46:18-05:00,DJI Mini 2 SE
20231108-201612,2023-11-08T20:16:12-05:00,Sony Mavica FD91
20230709-145346,2023-07-09T14:53:46-04:00,Sony Alpha a6000
20221224-122900,2022-12-24T12:29:00-05:00,Sony Alpha a6000
20220702-235636,2022-07-02T23:56:36-04:00,Sony Alpha a6000
20220511-193150,2022-05-11T19:31:50-04:00,Sony Alpha a6000
20220225-211535,2022-02-25T21:15:35-05:00,Sony Mavica FD200
20220208-182414,2022-02-08T18:24:14-05:00,Sony Alpha a6000
20220129-172629,2022-01-29T17:26:29-05:00,Sony Mavica FD200
20210721-200304,2021-07-21T20:03:04-04:00,Sony Alpha a6000
20210719-143648,2021-07-19T14:36:48-04:00,Sony Alpha a6000
20210718-203125,2021-07-18T20:31:25-04:00,Sony Alpha a6000
